Year,Life Expectancy
1960,40.94
1961,41.39
1962,41.83
1963,42.27
1964,42.7
1965,43.13
1966,43.55
1967,43.98
1968,44.42
1969,44.87
1970,45.32
1971,45.79
1972,46.26
1973,46.74
1974,47.23
1975,47.71
1976,48.21
1977,48.7
1978,49.19
1979,49.66
1980,50.13
1981,50.57
1982,50.99
1983,51.38
1984,51.74
1985,52.05
1986,52.3
1987,52.48
1988,52.61
1989,52.69
1990,52.75
1991,52.79
1992,52.83
1993,52.9
1994,53
1995,53.14
1996,53.29
1997,53.46
1998,53.63
1999,53.82
2000,54.05
2001,54.33
2002,54.68
2003,55.12
2004,55.63
2005,56.21
2006,56.85
2007,57.53
2008,58.21
2009,58.89
2010,59.53
2011,60.14
2012,60.72
2013,61.24
2014,61.72
2015,62.16
2016,62.56
